Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_MRP_Categories
FDY22,16.5,Regular,0.160371305,Food,143.9128,OUT018,2009,Medium,Tier 3,Supermarket Type2,1581.9408,101-150
FDV23,11.0,Low_Fat,0.105324246,Food,125.7046,OUT027,1985,Medium,Tier 3,Supermarket Type3,3237.1196,101-150
FDV01,19.2,Regular,0.0,Food,153.3314,OUT017,2007,Small,Tier 2,Supermarket Type1,3257.7594,151-200
DRA59,8.27,Regular,0.127927931,Drink,184.8924,OUT046,1997,Small,Tier 1,Supermarket Type1,4442.2176,151-200
FDW19,12.35,Regular,0.038560279,Food,109.857,OUT049,1999,Medium,Tier 1,Supermarket Type1,1208.427,101-150
FDU21,11.8,Regular,0.076839735,Food,34.9558,OUT049,1999,Medium,Tier 1,Supermarket Type1,373.5138,0-50
FDV60,20.2,Regular,0.117339056,Food,195.011,OUT035,2004,Small,Tier 2,Supermarket Type1,2749.754,151-200
FDX03,15.85,Regular,0.106971167,Food,44.7744,OUT019,1985,Small,Tier 1,Grocery Store,135.8232,0-50
FDX16,17.85,Low_Fat,0.110152524,Food,150.205,OUT010,1998,Small,Tier 3,Grocery Store,149.805,151-200
FDQ31,5.785,Regular,0.053930934,Food,87.3856,OUT049,1999,Medium,Tier 1,Supermarket Type1,878.856,51-100
FDT19,7.59,Regular,0.145631695,Food,172.808,OUT018,2009,Medium,Tier 3,Supermarket Type2,2250.404,151-200
NCV42,6.26,Non_Edible,0.031470832,Non_Consumable,110.2228,OUT049,1999,Medium,Tier 1,Supermarket Type1,1547.3192,101-150
NCF07,9.0,Non_Edible,0.032203667,Non_Consumable,100.8016,OUT017,2007,Small,Tier 2,Supermarket Type1,1113.2176,101-150
FDD45,8.615,Low_Fat,0.116722514,Food,95.4436,OUT018,2009,Medium,Tier 3,Supermarket Type2,567.2616,51-100
FDC59,16.7,Regular,0.0,Food,63.6168,OUT049,1999,Medium,Tier 1,Supermarket Type1,1342.2528,51-100
FDD04,16.0,Low_Fat,0.090480206,Food,142.4154,OUT017,2007,Small,Tier 2,Supermarket Type1,1985.4156,101-150
NCA53,11.395,Non_Edible,0.009878459,Non_Consumable,47.6034,OUT046,1997,Small,Tier 1,Supermarket Type1,1312.2918,0-50
FDW56,7.68,Low_Fat,0.070556945,Food,191.2162,OUT027,1985,Medium,Tier 3,Supermarket Type3,7504.2318,151-200
NCE30,16.0,Non_Edible,0.0,Non_Consumable,210.4902,OUT045,2002,Small,Tier 2,Supermarket Type1,3610.6334,201-250
FDB49,8.3,Regular,0.05046718,Food,97.6384,OUT010,1998,Small,Tier 3,Grocery Store,197.0768,51-100
FDT20,10.5,Low_Fat,0.041194986,Food,39.1164,OUT027,1985,Medium,Tier 3,Supermarket Type3,1235.7248,0-50
FDA26,7.855,Regular,0.073562475,Food,217.6482,OUT027,1985,Medium,Tier 3,Supermarket Type3,3285.723,201-250
DRM23,16.6,Low_Fat,0.135620265,Drink,172.9422,OUT013,1987,High,Tier 3,Supermarket Type1,2931.5174,151-200
FDT57,15.2,Low_Fat,0.031860325,Food,235.1248,OUT010,1998,Small,Tier 3,Grocery Store,474.0496,201-250
DRJ49,6.865,Low_Fat,0.013990601,Drink,127.6652,OUT035,2004,Small,Tier 2,Supermarket Type1,2841.6344,101-150
FDR46,16.85,Low_Fat,0.139417654,Food,147.476,OUT046,1997,Small,Tier 1,Supermarket Type1,2929.52,101-150
FDI56,7.325,Low_Fat,0.156307983,Food,92.2146,OUT010,1998,Small,Tier 3,Grocery Store,91.2146,51-100
FDP07,18.2,Low_Fat,0.090084098,Food,197.211,OUT045,2002,Small,Tier 2,Supermarket Type1,3142.576,151-200
NCL31,7.39,Non_Edible,0.120770963,Non_Consumable,143.447,OUT018,2009,Medium,Tier 3,Supermarket Type2,2290.352,101-150
FDU34,18.25,Low_Fat,0.075311837,Food,122.6046,OUT049,1999,Medium,Tier 1,Supermarket Type1,2988.1104,101-150
FDR34,17.0,Regular,0.015997687,Food,229.1352,OUT045,2002,Small,Tier 2,Supermarket Type1,4580.704,201-250
FDT24,12.35,Regular,0.185704641,Food,77.1328,OUT013,1987,High,Tier 3,Supermarket Type1,2239.7512,51-100
FDE45,12.1,Low_Fat,0.040357315,Food,177.8002,OUT046,1997,Small,Tier 1,Supermarket Type1,1611.9018,151-200
DRM37,15.35,Low_Fat,0.096790497,Drink,197.2768,OUT018,2009,Medium,Tier 3,Supermarket Type2,3941.536,151-200
NCH55,16.35,Non_Edible,0.034742632,Non_Consumable,127.402,OUT045,2002,Small,Tier 2,Supermarket Type1,759.012,101-150
NCC06,19.0,Non_Edible,0.026986367,Non_Consumable,127.1336,OUT046,1997,Small,Tier 1,Supermarket Type1,2812.3392,101-150
FDJ26,15.3,Regular,0.084937098,Food,214.0218,OUT045,2002,Small,Tier 2,Supermarket Type1,1068.609,201-250
FDE32,20.7,Low_Fat,0.048718334,Food,38.7506,OUT013,1987,High,Tier 3,Supermarket Type1,227.7036,0-50
NCQ43,17.75,Non_Edible,0.111301625,Non_Consumable,107.5912,OUT046,1997,Small,Tier 1,Supermarket Type1,1528.6768,101-150
DRK59,8.895,Low_Fat,0.126287542,Drink,235.5616,OUT010,1998,Small,Tier 3,Grocery Store,468.7232,201-250
FDT16,9.895,Regular,0.048738014,Food,262.1278,OUT049,1999,Medium,Tier 1,Supermarket Type1,3904.917,
NCF19,13.0,Non_Edible,0.03525175,Non_Consumable,48.0034,OUT018,2009,Medium,Tier 3,Supermarket Type2,923.4646,0-50
FDI46,9.5,Low_Fat,0.074648119,Food,253.3724,OUT018,2009,Medium,Tier 3,Supermarket Type2,755.0172,
FDL50,12.15,Regular,0.042277867,Food,126.5046,OUT013,1987,High,Tier 3,Supermarket Type1,373.5138,101-150
FDR56,15.5,Regular,0.101335811,Food,196.5768,OUT017,2007,Small,Tier 2,Supermarket Type1,3350.3056,151-200
FDO52,11.6,Regular,0.077321087,Food,169.3106,OUT045,2002,Small,Tier 2,Supermarket Type1,2224.4378,151-200
FDP44,16.5,Regular,0.079837509,Food,102.1332,OUT049,1999,Medium,Tier 1,Supermarket Type1,1743.0644,101-150
NCP43,17.75,Non_Edible,0.03050705,Non_Consumable,180.366,OUT046,1997,Small,Tier 1,Supermarket Type1,2336.958,151-200
FDK52,18.25,Low_Fat,0.079342006,Food,226.0062,OUT049,1999,Medium,Tier 1,Supermarket Type1,1805.6496,201-250
FDC53,8.68,Low_Fat,0.008835694,Food,96.5384,OUT046,1997,Small,Tier 1,Supermarket Type1,1182.4608,51-100
FDU24,6.78,Regular,0.0,Food,95.012,OUT049,1999,Medium,Tier 1,Supermarket Type1,2050.664,51-100
FDY49,17.2,Regular,0.012002075,Food,165.3184,OUT013,1987,High,Tier 3,Supermarket Type1,990.7104,151-200
FDJ34,11.8,Regular,0.094185483,Food,126.2704,OUT017,2007,Small,Tier 2,Supermarket Type1,2002.7264,101-150
FDY44,14.15,Regular,0.024286378,Food,194.711,OUT027,1985,Medium,Tier 3,Supermarket Type3,5892.33,151-200
FDW34,9.6,Low_Fat,0.035579135,Food,244.417,OUT046,1997,Small,Tier 1,Supermarket Type1,1944.136,201-250
FDY40,15.5,Regular,0.15028599,Food,51.0692,OUT019,1985,Small,Tier 1,Grocery Store,147.8076,51-100
DRJ35,10.1,Low_Fat,0.046545786,Drink,59.9878,OUT013,1987,High,Tier 3,Supermarket Type1,484.7024,51-100
FDV60,20.2,Regular,0.117599259,Food,195.311,OUT045,2002,Small,Tier 2,Supermarket Type1,3338.987,151-200
FDF57,14.5,Regular,0.102999154,Food,169.9448,OUT019,1985,Small,Tier 1,Grocery Store,170.4448,151-200
DRF27,8.93,Low_Fat,0.049754975,Drink,152.134,OUT019,1985,Small,Tier 1,Grocery Store,153.134,151-200
FDB44,6.655,Low_Fat,0.016876708,Food,210.0586,OUT027,1985,Medium,Tier 3,Supermarket Type3,6964.9338,201-250
NCL06,14.65,Non_Edible,0.120624771,Non_Consumable,261.7594,OUT010,1998,Small,Tier 3,Grocery Store,523.3188,
FDH60,19.7,Regular,0.0,Food,197.911,OUT045,2002,Small,Tier 2,Supermarket Type1,1767.699,151-200
DRJ25,14.6,Low_Fat,0.150872868,Drink,47.5692,OUT045,2002,Small,Tier 2,Supermarket Type1,1379.5376,0-50
FDH22,6.405,Low_Fat,0.136275173,Food,128.1678,OUT035,2004,Small,Tier 2,Supermarket Type1,1017.3424,101-150
FDJ56,8.985,Low_Fat,0.32111501,Food,100.77,OUT019,1985,Small,Tier 1,Grocery Store,199.74,101-150
FDL56,14.1,Low_Fat,0.126292985,Food,88.6198,OUT018,2009,Medium,Tier 3,Supermarket Type2,1133.8574,51-100
DRD24,13.85,Low_Fat,0.030920531,Drink,141.0154,OUT018,2009,Medium,Tier 3,Supermarket Type2,1701.7848,101-150
FDF33,7.97,Low_Fat,0.0,Food,109.4596,OUT027,1985,Medium,Tier 3,Supermarket Type3,1833.6132,101-150
FDW44,9.5,Regular,0.035350045,Food,169.7448,OUT017,2007,Small,Tier 2,Supermarket Type1,3579.3408,151-200
FDA13,15.85,Low_Fat,0.078174543,Food,39.9506,OUT027,1985,Medium,Tier 3,Supermarket Type3,721.0614,0-50
FDX60,14.35,Low_Fat,0.080922439,Food,80.096,OUT018,2009,Medium,Tier 3,Supermarket Type2,1278.336,51-100
FDS21,19.85,Regular,0.034942397,Food,61.9194,OUT010,1998,Small,Tier 3,Grocery Store,123.8388,51-100
FDA01,15.0,Regular,0.054599767,Food,59.4904,OUT018,2009,Medium,Tier 3,Supermarket Type2,644.4944,51-100
FDT04,17.25,Low_Fat,0.107021498,Food,40.5822,OUT035,2004,Small,Tier 2,Supermarket Type1,785.644,0-50
FDB38,19.5,Regular,0.027214272,Food,159.692,OUT027,1985,Medium,Tier 3,Supermarket Type3,3515.424,151-200
FDN01,8.895,Low_Fat,0.07204818,Food,177.937,OUT027,1985,Medium,Tier 3,Supermarket Type3,6881.043,151-200
FDK40,7.035,Low_Fat,0.021849398,Food,262.091,OUT046,1997,Small,Tier 1,Supermarket Type1,4207.856,
FDV32,7.785,Low_Fat,0.088846306,Food,61.451,OUT049,1999,Medium,Tier 1,Supermarket Type1,759.012,51-100
FDS46,17.6,Regular,0.047330801,Food,120.8782,OUT049,1999,Medium,Tier 1,Supermarket Type1,2621.9204,101-150
FDS55,7.02,Low_Fat,0.080771137,Food,146.4734,OUT027,1985,Medium,Tier 3,Supermarket Type3,4157.2552,101-150
FDY09,15.6,Low_Fat,0.044122209,Food,173.8054,OUT019,1985,Small,Tier 1,Grocery Store,175.1054,151-200
FDV49,10.0,Low_Fat,0.025702129,Food,262.6226,OUT027,1985,Medium,Tier 3,Supermarket Type3,7136.7102,
DRK47,7.905,Low_Fat,0.06406438,Drink,229.2694,OUT046,1997,Small,Tier 1,Supermarket Type1,1826.9552,201-250
FDR26,20.7,Low_Fat,0.043011277,Food,177.2028,OUT018,2009,Medium,Tier 3,Supermarket Type2,3364.9532,151-200
FDX19,19.1,Low_Fat,0.096929994,Food,233.8958,OUT045,2002,Small,Tier 2,Supermarket Type1,2103.2622,201-250
FDW32,18.35,Regular,0.094218363,Food,83.9882,OUT013,1987,High,Tier 3,Supermarket Type1,1202.4348,51-100
FDD29,12.15,Low_Fat,0.018321361,Food,255.3698,OUT027,1985,Medium,Tier 3,Supermarket Type3,4819.7262,
FDP44,16.5,Regular,0.133424184,Food,102.2332,OUT010,1998,Small,Tier 3,Grocery Store,102.5332,101-150
FDS27,10.195,Regular,0.012458143,Food,196.311,OUT046,1997,Small,Tier 1,Supermarket Type1,589.233,151-200
FDG05,11.0,Regular,0.087421738,Food,154.463,OUT027,1985,Medium,Tier 3,Supermarket Type3,2972.797,151-200
FDG45,8.1,Low_Fat,0.128011859,Food,210.9902,OUT035,2004,Small,Tier 2,Supermarket Type1,6371.706,201-250
NCX06,17.6,Non_Edible,0.015687045,Non_Consumable,182.6976,OUT046,1997,Small,Tier 1,Supermarket Type1,3440.8544,151-200
FDB12,11.15,Regular,0.105471384,Food,105.8648,OUT049,1999,Medium,Tier 1,Supermarket Type1,1973.4312,101-150
FDP32,6.65,Low_Fat,0.08816538,Food,126.8678,OUT017,2007,Small,Tier 2,Supermarket Type1,1780.3492,101-150
FDI58,7.64,Regular,0.070704474,Food,93.412,OUT046,1997,Small,Tier 1,Supermarket Type1,1491.392,51-100
FDC29,8.39,Regular,0.024205661,Food,114.0176,OUT046,1997,Small,Tier 1,Supermarket Type1,2290.352,101-150
FDB22,8.02,Low_Fat,0.186528819,Food,151.9998,OUT010,1998,Small,Tier 3,Grocery Store,307.5996,151-200
FDA28,16.1,Regular,0.04807227,Food,126.5362,OUT017,2007,Small,Tier 2,Supermarket Type1,1761.7068,101-150
FDN04,11.8,Regular,0.014166739,Food,178.2344,OUT017,2007,Small,Tier 2,Supermarket Type1,2854.9504,151-200
FDW23,5.765,Low_Fat,0.143592939,Food,37.3164,OUT019,1985,Small,Tier 1,Grocery Store,38.6164,0-50
FDX15,17.2,Low_Fat,0.156298858,Food,162.1578,OUT046,1997,Small,Tier 1,Supermarket Type1,1283.6624,151-200
FDV11,9.1,Regular,0.136695145,Food,173.4054,OUT010,1998,Small,Tier 3,Grocery Store,875.527,151-200
DRK11,8.21,Low_Fat,0.018847114,Drink,148.0392,OUT019,1985,Small,Tier 1,Grocery Store,447.4176,101-150
DRD25,6.135,Low_Fat,0.079094835,Drink,114.386,OUT049,1999,Medium,Tier 1,Supermarket Type1,1018.674,101-150
FDV04,7.825,Regular,0.150015234,Food,157.5288,OUT046,1997,Small,Tier 1,Supermarket Type1,942.7728,151-200
FDQ24,15.7,Low_Fat,0.073816097,Food,253.4724,OUT045,2002,Small,Tier 2,Supermarket Type1,2013.3792,
FDE11,17.7,Regular,0.226122963,Food,185.7924,OUT010,1998,Small,Tier 3,Grocery Store,370.1848,151-200
NCT05,10.895,Non_Edible,0.021037197,Non_Consumable,255.9672,OUT018,2009,Medium,Tier 3,Supermarket Type2,4857.6768,
FDU49,19.5,Regular,0.030688557,Food,85.754,OUT035,2004,Small,Tier 2,Supermarket Type1,2163.85,51-100
FDF24,15.5,Regular,0.025409912,Food,83.2934,OUT049,1999,Medium,Tier 1,Supermarket Type1,1883.5482,51-100
NCR38,17.25,Non_Edible,0.113748685,Non_Consumable,251.3724,OUT045,2002,Small,Tier 2,Supermarket Type1,6795.1548,
FDS33,6.669999999999999,Regular,0.122830885,Food,86.9514,OUT027,1985,Medium,Tier 3,Supermarket Type3,3364.9532,51-100
FDF16,7.3,Low_Fat,0.086266286,Food,147.2076,OUT049,1999,Medium,Tier 1,Supermarket Type1,1921.4988,101-150
FDN39,19.35,Regular,0.065507999,Food,168.9816,OUT035,2004,Small,Tier 2,Supermarket Type1,2852.2872,151-200
NCC43,7.39,Non_Edible,0.093307713,Non_Consumable,250.9066,OUT017,2007,Small,Tier 2,Supermarket Type1,1506.0396,
FDL24,10.3,Regular,0.024776026,Food,172.3422,OUT027,1985,Medium,Tier 3,Supermarket Type3,7759.899,151-200
FDB26,14.0,Regular,0.031444357,Food,53.764,OUT017,2007,Small,Tier 2,Supermarket Type1,798.96,51-100
FDB33,17.75,Low_Fat,0.014609738,Food,160.4262,OUT045,2002,Small,Tier 2,Supermarket Type1,3182.524,151-200
FDW20,20.75,Low_Fat,0.024032484,Food,124.973,OUT027,1985,Medium,Tier 3,Supermarket Type3,2463.46,101-150
NCN43,12.15,Non_Edible,0.006754117,Non_Consumable,122.173,OUT013,1987,High,Tier 3,Supermarket Type1,2586.633,101-150
FDU25,12.35,Low_Fat,0.026735372,Food,57.4246,OUT045,2002,Small,Tier 2,Supermarket Type1,810.9444,51-100
FDW14,8.3,Regular,0.038367194,Food,87.1198,OUT018,2009,Medium,Tier 3,Supermarket Type2,959.4178,51-100
FDV12,16.7,Regular,0.061122656,Food,100.0384,OUT018,2009,Medium,Tier 3,Supermarket Type2,2463.46,101-150
DRH15,8.775,Low_Fat,0.109911272,Drink,41.9428,OUT046,1997,Small,Tier 1,Supermarket Type1,1537.998,0-50
FDA07,7.55,Regular,0.030918873,Food,123.9072,OUT013,1987,High,Tier 3,Supermarket Type1,1102.5648,101-150
FDC05,13.1,Regular,0.098938169,Food,195.7768,OUT049,1999,Medium,Tier 1,Supermarket Type1,4138.6128,151-200
DRO47,10.195,Low_Fat,0.112681821,Drink,113.986,OUT018,2009,Medium,Tier 3,Supermarket Type2,452.744,101-150
NCV17,18.85,Non_Edible,0.016104504,Non_Consumable,130.2626,OUT035,2004,Small,Tier 2,Supermarket Type1,2360.9268,101-150
FDC51,10.895,Regular,0.009613854,Food,122.973,OUT013,1987,High,Tier 3,Supermarket Type1,1231.73,101-150
DRJ11,9.5,Low_Fat,0.0,Drink,190.9872,OUT045,2002,Small,Tier 2,Supermarket Type1,3025.3952,151-200
FDA23,9.8,Low_Fat,0.047178116,Food,99.4016,OUT035,2004,Small,Tier 2,Supermarket Type1,2428.8384,51-100
NCT17,10.8,Non_Edible,0.042102658,Non_Consumable,189.7214,OUT017,2007,Small,Tier 2,Supermarket Type1,1695.7926,151-200
FDR40,9.1,Regular,0.008027701,Food,81.1618,OUT013,1987,High,Tier 3,Supermarket Type1,2255.7304,51-100
FDN46,7.21,Regular,0.144924795,Food,100.8332,OUT045,2002,Small,Tier 2,Supermarket Type1,1537.998,101-150
FDF09,6.215,Low_Fat,0.012198395,Food,37.4848,OUT018,2009,Medium,Tier 3,Supermarket Type2,186.424,0-50
FDW58,20.75,Low_Fat,0.007551665,Food,107.1622,OUT035,2004,Small,Tier 2,Supermarket Type1,1693.7952,101-150
FDH44,19.1,Regular,0.025872153,Food,145.7418,OUT046,1997,Small,Tier 1,Supermarket Type1,882.8508,101-150
NCC07,19.6,Non_Edible,0.023951149,Non_Consumable,105.6964,OUT046,1997,Small,Tier 1,Supermarket Type1,1577.946,101-150
FDQ25,8.63,Regular,0.028320655,Food,172.5422,OUT049,1999,Medium,Tier 1,Supermarket Type1,2241.7486,151-200
NCQ41,14.8,Non_Edible,0.032606181,Non_Consumable,193.5794,OUT010,1998,Small,Tier 3,Grocery Store,390.1588,151-200
FDD11,12.85,Low_Fat,0.0,Food,253.004,OUT018,2009,Medium,Tier 3,Supermarket Type2,3795.06,
FDI35,14.0,Low_Fat,0.041283361,Food,182.4634,OUT035,2004,Small,Tier 2,Supermarket Type1,5452.902,151-200
FDN10,11.5,Low_Fat,0.046217345,Food,120.3124,OUT045,2002,Small,Tier 2,Supermarket Type1,474.0496,101-150
FDY11,6.71,Regular,0.029727657,Food,66.6142,OUT017,2007,Small,Tier 2,Supermarket Type1,1120.5414,51-100
FDC14,14.5,Regular,0.072221801,Food,43.6454,OUT019,1985,Small,Tier 1,Grocery Store,125.8362,0-50
FDJ36,14.5,Regular,0.214681063,Food,102.7332,OUT010,1998,Small,Tier 3,Grocery Store,205.0664,101-150
DRH11,5.98,Low_Fat,0.075675438,Drink,53.3614,OUT049,1999,Medium,Tier 1,Supermarket Type1,331.5684,51-100
NCB43,20.2,Non_Edible,0.099428487,Non_Consumable,187.8898,OUT027,1985,Medium,Tier 3,Supermarket Type3,7296.5022,151-200
FDW11,12.6,Low_Fat,0.049058014,Food,62.7194,OUT017,2007,Small,Tier 2,Supermarket Type1,866.8716,51-100
FDE41,9.195,Regular,0.064143995,Food,85.9566,OUT045,2002,Small,Tier 2,Supermarket Type1,1691.132,51-100
FDH32,12.8,Low_Fat,0.076369874,Food,97.241,OUT018,2009,Medium,Tier 3,Supermarket Type2,1448.115,51-100
NCM26,20.5,Non_Edible,0.040520754,Non_Consumable,153.934,OUT019,1985,Small,Tier 1,Grocery Store,153.134,151-200
FDY57,20.2,Regular,0.121254236,Food,94.5752,OUT046,1997,Small,Tier 1,Supermarket Type1,1821.6288,51-100
DRG27,8.895,Low_Fat,0.105323859,Drink,39.1138,OUT045,2002,Small,Tier 2,Supermarket Type1,609.207,0-50
FDM36,11.65,Regular,0.059063036,Food,172.0422,OUT017,2007,Small,Tier 2,Supermarket Type1,1379.5376,151-200
FDC04,15.6,Low_Fat,0.078764059,Food,241.3854,OUT019,1985,Small,Tier 1,Grocery Store,483.3708,201-250
FDZ27,7.935,Low_Fat,0.017253305,Food,51.435,OUT017,2007,Small,Tier 2,Supermarket Type1,499.35,51-100
FDL46,20.35,Low_Fat,0.053795154,Food,117.7466,OUT027,1985,Medium,Tier 3,Supermarket Type3,1414.1592,101-150
FDO37,8.06,Low_Fat,0.035780177,Food,230.2326,OUT010,1998,Small,Tier 3,Grocery Store,693.0978,201-250
FDR51,9.035,Regular,0.172629683,Food,148.4708,OUT027,1985,Medium,Tier 3,Supermarket Type3,3761.77,101-150
NCC30,16.6,Non_Edible,0.046161923,Non_Consumable,176.6344,OUT010,1998,Small,Tier 3,Grocery Store,356.8688,151-200
FDA50,16.25,Low_Fat,0.152632413,Food,98.441,OUT019,1985,Small,Tier 1,Grocery Store,96.541,51-100
FDU25,12.35,Low_Fat,0.026722744,Food,59.2246,OUT049,1999,Medium,Tier 1,Supermarket Type1,984.7182,51-100
NCM43,14.5,Non_Edible,0.019459164,Non_Consumable,161.621,OUT013,1987,High,Tier 3,Supermarket Type1,2120.573,151-200
FDW50,13.1,Low_Fat,0.075731322,Food,167.5158,OUT045,2002,Small,Tier 2,Supermarket Type1,1504.0422,151-200
FDX21,7.05,Low_Fat,0.085138334,Food,108.6912,OUT045,2002,Small,Tier 2,Supermarket Type1,1310.2944,101-150
FDS59,14.800000000000002,Regular,0.076851759,Food,111.857,OUT019,1985,Small,Tier 1,Grocery Store,109.857,101-150
FDP13,8.1,Regular,0.133673087,Food,41.548,OUT027,1985,Medium,Tier 3,Supermarket Type3,918.804,0-50
FDU36,6.15,Low_Fat,0.046459438,Food,100.5384,OUT018,2009,Medium,Tier 3,Supermarket Type2,1675.1528,101-150
FDP28,13.65,Regular,0.080573371,Food,260.1936,OUT013,1987,High,Tier 3,Supermarket Type1,3914.904,
FDA09,13.35,Regular,0.149669322,Food,180.266,OUT045,2002,Small,Tier 2,Supermarket Type1,898.83,151-200
